Opening Balance,97809.04,Total Income,134416,Total Expense,175587.2,Current Balance,56637.84
,,,,,,,
,,,,,,,
Date,Description,Category,Income,Expense,Running Balance,Daily Total,
1 June,Seerat Deduction,Savings,,1000,96809.04,1000,
3 June,Cloth,,,50,96759.04,2739,
3 June,Dal,,,60,96699.04,,
3 June,Samose,,,120,96579.04,,
3 June,Elect Bill,,,821,95758.04,,
3 June,Elect Bill,,,1688,94070.04,,
5 June,Emi Personal,Loan,,28403,65667.04,34403,
5 June,Gagan EMI,,,6000,59667.04,,
5 June,Salary Incoming,,130896,,190563.04,,
7 June,Food,,,850,189713.04,23346,
7 June,EMI Personal ,Loan,,22496,167217.04,,
8 June,Gagan,,,5000,162217.04,6872.8,
8 June,Petrol,,,1102.8,161114.24,,
8 June,,,60,,161174.24,,
8 June,,,120,,161294.24,,
8 June,,,100,,161394.24,,
8 June,,,120,,161514.24,,
8 June,,,120,,161634.24,,
8 June,Cake,,,420,161214.24,,
8 June,,,200,,161414.24,,
8 June,,,,200,161214.24,,
8 June,Pastry,,,150,161064.24,,
9 June,Petrol,,,1292,159772.24,1442,
9 June,Namkeen,,,150,159622.24,,
10 June,EMI Car,Loan,,19957,139665.24,20663,
10 June,MD Eid,,,501,139164.24,,
10 June,Tarun,Medicine,,205,138959.24,,
11 June,Petrol,,,3400,135559.24,10400,
11 June,SIP,,,1500,134059.24,,
11 June,SIP,,,1000,133059.24,,
11 June,SIP,,,1000,132059.24,,
11 June,SIP,,,2000,130059.24,,
11 June,Phone Bill,,,1500,128559.24,,
12 June,Liquor ,,,1440,127119.24,24633,
12 June,Petrol,,,1331,125788.24,,
12 June,Gopal Sweets,,,780,125008.24,,
12 June,LIC,Gagan,,11747,113261.24,,
12 June,LIC,Gagan,,9335,103926.24,,
13 June,Amazon,,,493,103433.24,5493,
13 June,Gagan,,,5000,98433.24,,
14 June,Petrol,,,3491,94942.24,4891,
14 June,Radhika,,2800,,97742.24,,
14 June,Radhika,,,1400,96342.24,,
16 June,Tea,,,40,96302.24,40,
18 June,Food,,,90,96212.24,7931,
18 June,Car Service,,,5621,90591.24,,
18 June,liquor,,,1100,89491.24,,
18 June,liquor,,,1120,88371.24,,
19 June,Auto,,,270,88101.24,457.95,
19 June,Food,,,187.95,87913.29,,
22 June,Cash Travel,,,3500,84413.29,3500,
23 June,Food,,,331,84082.29,645,
23 June,Food,,,210,83872.29,,
23 June,Food,,,104,83768.29,,
24 June,Food,,,170,83598.29,170,
27 June,Mom,Medicine,,1130,82468.29,8364.75,
27 June,Petrol Car,,,2537.75,79930.54,,
27 June,Clothes,,,2725,77205.54,,
27 June,Clothes,,,1972,75233.54,,
28 June,Tea,,,60,75173.54,60,
30 June,Car Insurance,,,11897,63276.54,17237,
30 June,Pastry,,,180,63096.54,,
30 June,Jalebi,,,160,62936.54,,
30 June,NPS,Savings,,5000,57936.54,,
26 June,Petrol,,,1298.7,56637.84,1298.7,
,,,,,56637.84,0,
